county_id,prec_id,total_votes,pct_latino,pct_trump,pct_clinton,state
201,2010674,2975.0,0.145380434782609,0.65546218487395,0.278991596638655,tx
201,2010677,682.0,0.881326728408357,0.211143695014663,0.733137829912023,tx
201,2010678,1464.0,0.647512864493997,0.0915300546448087,0.869535519125683,tx
201,2010679,2250.0,0.32220367278798,0.645333333333333,0.3,tx
201,2010680,117.0,0.121212121212121,0.273504273504274,0.666666666666667,tx
201,2010681,6.0,0.333333333333333,0.5,0.5,tx
201,2010682,2804.0,0.257940464321322,0.684022824536377,0.264978601997147,tx
201,2010683,87.0,0.932584269662921,0.218390804597701,0.689655172413793,tx
201,2010684,2326.0,0.197530864197531,0.549871023215821,0.3731728288908,tx
201,2010685,167.0,0.0867158671586716,0.395209580838323,0.538922155688623,tx
201,2010686,58.0,0.732558139534884,0.224137931034483,0.689655172413793,tx
201,2010687,1918.0,0.141898608349901,0.58237747653806,0.359228362877998,tx
201,2010688,2939.0,0.108858057630736,0.707043211976863,0.23001020755359,tx
201,2010689,1335.0,0.49309032645704,0.354307116104869,0.580524344569288,tx
201,2010690,2528.0,0.150071462601239,0.695806962025316,0.230221518987342,tx
201,2010691,2685.0,0.272727272727273,0.693482309124767,0.24171322160149,tx
201,2010692,1960.0,0.121897955132023,0.644897959183673,0.279591836734694,tx
201,2010693,421.0,0.367713004484305,0.209026128266033,0.736342042755344,tx
201,2010694,1327.0,0.386456509048453,0.348153730218538,0.580256217030897,tx
201,2010695,946.0,0.472514887769125,0.559196617336152,0.371035940803383,tx
201,2010696,1041.0,0.537995499394149,0.570605187319885,0.36983669548511,tx
201,2010697,1851.0,0.552052576435851,0.215559157212318,0.728795245813074,tx
201,2010698,1796.0,0.401719901719902,0.094097995545657,0.864699331848552,tx
201,2010699,1681.0,0.10962962962963,0.537180249851279,0.38488994646044,tx
201,2010700,975.0,0.197748592870544,0.826666666666667,0.137435897435897,tx
201,2010701,283.0,0.789503386004515,0.395759717314488,0.540636042402827,tx
201,2010702,252.0,0.785074626865672,0.0992063492063492,0.841269841269841,tx
201,2010703,1430.0,0.0964656964656965,0.625874125874126,0.304195804195804,tx
201,2010704,2212.0,0.232124772128823,0.77622061482821,0.1749547920434,tx
201,2010705,537.0,0.179940119760479,0.0912476722532588,0.86219739292365,tx
201,2010706,1627.0,0.284249084249084,0.313460356484327,0.618930547019053,tx
201,2010707,447.0,0.392939370683039,0.539149888143177,0.398210290827741,tx
201,2010708,261.0,0.815434430652995,0.32183908045977,0.64367816091954,tx
201,2010709,2789.0,0.219186939303322,0.469702402294729,0.466116887773395,tx
201,2010710,1593.0,0.175388967468175,0.408035153797866,0.494036409290647,tx
201,2010711,2586.0,0.185099427948788,0.435421500386698,0.508507347254447,tx
201,2010712,2349.0,0.482019209291937,0.315453384418902,0.632183908045977,tx
201,2010713,1135.0,0.259850630955447,0.431718061674009,0.509251101321586,tx
201,2010714,130.0,0.84093567251462,0.407692307692308,0.561538461538462,tx
201,2010715,792.0,0.322295805739514,0.441919191919192,0.513888888888889,tx
201,2010716,1638.0,0.244761287535105,0.673992673992674,0.272283272283272,tx
201,2010717,1211.0,0.470921636274027,0.111478117258464,0.844756399669695,tx
201,2010718,3123.0,0.0934531007082398,0.554274735830932,0.370156900416266,tx
201,2010719,847.0,0.601330603889457,0.476977567886659,0.485242030696576,tx
201,2010720,3215.0,0.29066219102838,0.605909797822706,0.320684292379471,tx
201,2010721,2079.0,0.104261796042618,0.551226551226551,0.374218374218374,tx
201,2010722,2540.0,0.493451143451143,0.0559055118110236,0.907874015748032,tx
201,2010723,1160.0,0.350830208891269,0.166379310344828,0.792241379310345,tx
201,2010724,541.0,0.0739750445632799,0.539741219963031,0.395563770794824,tx
201,2010725,1271.0,0.419491525423729,0.374508261211644,0.568843430369788,tx
201,2010726,1595.0,0.138714185883997,0.809404388714734,0.130407523510972,tx
201,2010727,1399.0,0.287888009738284,0.22301644031451,0.709077912794853,tx
201,2010728,597.0,0.287465181058496,0.507537688442211,0.400335008375209,tx
201,2010729,284.0,0.328149300155521,0.53169014084507,0.419014084507042,tx
201,2010730,1778.0,0.154875043998592,0.543307086614173,0.385264341957255,tx
201,2010731,2714.0,0.532620320855615,0.364775239498895,0.56484893146647,tx
201,2010732,1247.0,0.22411462557448,0.510825982357658,0.406575781876504,tx
201,2010733,80.0,0.756352765321375,0.325,0.625,tx
201,2010734,2865.0,0.245761982617675,0.594415357766143,0.342059336823735,tx
201,2010735,219.0,0.0652173913043478,0.502283105022831,0.452054794520548,tx
201,2010736,17.0,0.835164835164835,0.0588235294117647,0.941176470588235,tx
201,2010737,27.0,0.542056074766355,0.666666666666667,0.222222222222222,tx
201,2010738,650.0,0.302832244008715,0.150769230769231,0.812307692307692,tx
201,2010739,1421.0,0.421037167621566,0.415200562983814,0.528501055594652,tx
201,2010740,450.0,0.503247993886129,0.484444444444444,0.473333333333333,tx
201,2010743,114.0,0.875,0.324561403508772,0.657894736842105,tx
201,2010744,1455.0,0.16403785488959,0.516838487972509,0.406185567010309,tx
201,2010745,1665.0,0.239322033898305,0.539339339339339,0.394594594594595,tx
201,2010746,367.0,0.263331500824629,0.44141689373297,0.493188010899183,tx
201,2010747,2441.0,0.336726599682708,0.398197460057354,0.540761982793937,tx
201,2010748,814.0,0.358625461254613,0.423832923832924,0.493857493857494,tx
201,2010749,116.0,0.669314079422383,0.155172413793103,0.827586206896552,tx
201,2010750,417.0,0.534949069195645,0.489208633093525,0.436450839328537,tx
201,2010751,3964.0,0.251908396946565,0.548435923309788,0.376892028254289,tx
201,2010752,887.0,0.425598011804908,0.613303269447576,0.331454340473506,tx
201,2010753,313.0,0.285340314136126,0.348242811501597,0.571884984025559,tx
201,2010755,2741.0,0.62919542403328,0.297701568770522,0.635899306822328,tx
201,2010756,997.0,0.411349791599872,0.294884653961886,0.657973921765296,tx
201,2010757,2468.0,0.401826484018265,0.135332252836305,0.820502431118314,tx
201,2010758,2704.0,0.107952622673435,0.680473372781065,0.243343195266272,tx
201,2010759,1767.0,0.23219553308048901,0.508205998868138,0.418222976796831,tx
201,2010760,1490.0,0.0640374853572823,0.71006711409396,0.216107382550336,tx
201,2010761,1263.0,0.073926073926073907,0.587490102929533,0.334916864608076,tx
201,2010763,634.0,0.844694533762058,0.272870662460568,0.659305993690852,tx
201,2010764,3152.0,0.233432901869676,0.546002538071066,0.390862944162437,tx
201,2010765,2943.0,0.299735799207398,0.235813795446823,0.7217125382263,tx
201,2010766,185.0,0.911023622047244,0.124324324324324,0.789189189189189,tx
201,2010767,46.0,0.708333333333333,0.369565217391304,0.565217391304348,tx
201,2010768,1873.0,0.169374313940724,0.703683929524827,0.227976508275494,tx
201,2010769,99.0,0.0854700854700855,0.0707070707070707,0.929292929292929,tx
201,2010770,145.0,0.833333333333333,0.296551724137931,0.648275862068965,tx
201,2010771,782.0,0.61369038187292,0.379795396419437,0.552429667519182,tx
201,2010772,3297.0,0.0963124696749151,0.637549287230816,0.290263876251137,tx
201,2010773,2335.0,0.294507410636443,0.22441113490364,0.72847965738758,tx
201,2010774,220.0,0.149178255372946,0.227272727272727,0.745454545454545,tx
201,2010775,51.0,0.203007518796992,0.0392156862745098,0.941176470588235,tx
201,2010776,1975.0,0.220145190562613,0.525569620253165,0.404050632911392,tx
