total_votes,pct_latino,pct_trump,pct_clinton,state
2382.0,0.877355837,0.51511335,0.459277918,fl
48.0,0.818181818,0.5625,0.4375,fl
1576.0,0.778664008,0.270939086,0.691624365,fl
2629.0,0.737749546,0.390262457,0.576264739,fl
882.0,0.798519737,0.482993197,0.475056689,fl
2.0,0.333333333,1.0,0.0,fl
2.0,1.0,0.0,1.0,fl
733.0,0.893496701,0.529331514,0.448840382,fl
2734.0,0.888704319,0.543891734,0.419531822,fl
2051.0,0.873966259,0.528522672,0.451487079,fl
694.0,0.882828283,0.521613833,0.438040346,fl
1771.0,0.889239259,0.527385658,0.446640316,fl
1152.0,0.890867318,0.521701389,0.456597222,fl
1131.0,0.850204798,0.519009726,0.456233422,fl
1848.0,0.894157815,0.461038961,0.516233766,fl
2770.0,0.83945323,0.540072202,0.433212996,fl
1620.0,0.882663419,0.461728395,0.508024691,fl
1268.0,0.878627968,0.370662461,0.606466877,fl
2456.0,0.90657822,0.41286645,0.563110749,fl
2280.0,0.787532637,0.525877193,0.450438596,fl
2517.0,0.822298563,0.633690902,0.336909019,fl
1649.0,0.845794393,0.426318981,0.542753184,fl
782.0,0.822025565,0.459079284,0.508951407,fl
705.0,0.836443469,0.432624113,0.530496454,fl
1388.0,0.881208397,0.326368876,0.643371758,fl
2066.0,0.890765361,0.580832527,0.392545983,fl
1106.0,0.864428664,0.363471971,0.616636528,fl
1342.0,0.880676329,0.47466468,0.5,fl
1880.0,0.882352941,0.351595745,0.617021277,fl
1209.0,0.880706026,0.532671629,0.422663358,fl
1415.0,0.814738997,0.303886926,0.666431095,fl
1700.0,0.827276439,0.360588235,0.601764706,fl
1684.0,0.898073836,0.419833729,0.544536817,fl
1532.0,0.842373667,0.31462141,0.65535248,fl
1694.0,0.84929078,0.610979929,0.350649351,fl
2395.0,0.864747756,0.634237996,0.334864301,fl
1497.0,0.871330724,0.53507014,0.429525718,fl
2414.0,0.85365184,0.43951947,0.527754764,fl
1474.0,0.899074074,0.457937585,0.51356852099999994,fl
1600.0,0.8404303,0.523125,0.443125,fl
692.0,0.816993464,0.50433526,0.456647399,fl
1046.0,0.831395349,0.604206501,0.361376673,fl
1732.0,0.855598789,0.588337182,0.383949192,fl
1690.0,0.844933921,0.575147929,0.395857988,fl
1031.0,0.825863336,0.555771096,0.414161009,fl
1482.0,0.822734101,0.545883941,0.419703104,fl
1875.0,0.859840232,0.5376,0.425066667,fl
